InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.109529
0.0250,0.624336
0.0175,0.388043
0.0025,0.000386
0.0050,0.000728
0.0100,0.020883
0.0200,0.453522
0.0275,0.669191
0.0225,0.591556
0.0075,0.003322
0.0150,0.269326
0.0300,0.707829
