InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.000935
0.0250,0.059701
0.0175,0.002671
0.0025,0.000342
0.0050,0.000383
0.0100,0.000616
0.0200,0.005535
0.0275,0.119239
0.0225,0.023967
0.0075,0.000469
0.0150,0.001434
0.0300,0.200948
