InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.000565
0.0250,0.003183
0.0175,0.000932
0.0025,0.000339
0.0050,0.000372
0.0100,0.000525
0.0200,0.001268
0.0275,0.005979
0.0225,0.001949
0.0075,0.000439
0.0150,0.000836
0.0300,0.014445
