Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,3.000000000000009E-4,0.0
0.0,0.0,3.8333333333333334E-5,1.6535945694153707E-5,2.8271992422812302E-5,1.0,3.125000000000008E-4,0.0
2.6601482832520593E-5,3.166666666666665E-5,6.16666666666667E-5,2.34964536331195E-5,3.546320471825538E-5,2.0,3.2500000000000074E-4,0.0
3.349958540373628E-5,5.333333333333336E-5,9.249999999999992E-5,2.7760758675191543E-5,3.881714612556332E-5,3.0,3.341666666666673E-4,0.0
3.8908725099762515E-5,8.333333333333329E-5,1.0666666666666654E-4,3.181707700102084E-5,3.693086634360054E-5,4.0,3.3916666666666725E-4,0.0
3.789376597806032E-5,9.74999999999999E-5,1.2666666666666664E-4,3.344772040064916E-5,4.4596960534198856E-5,5.0,3.450000000000005E-4,0.0
4.455801461764947E-5,1.1499999999999996E-4,1.3999999999999993E-4,3.349958540373631E-5,4.7169905660283044E-5,6.0,3.4666666666666716E-4,0.0
4.597704741377908E-5,1.2333333333333334E-4,1.4999999999999993E-4,3.415396105220533E-5,4.999999999999998E-5,7.0,3.4916666666666717E-4,0.0
4.923723748907478E-5,1.2833333333333333E-4,1.574999999999999E-4,3.415396105220531E-5,5.027528385466029E-5,8.0,3.5083333333333386E-4,0.0
5.109223685323108E-5,1.3499999999999997E-4,1.6499999999999986E-4,3.413362223185035E-5,5.027010377285221E-5,9.0,3.5250000000000044E-4,0.0
5.094761743420612E-5,1.3916666666666662E-4,1.7249999999999988E-4,3.413362223185035E-5,4.914370932954354E-5,10.0,3.5250000000000044E-4,0.0
4.909599440551812E-5,1.4499999999999992E-4,1.7499999999999992E-4,3.413362223185035E-5,4.968651728587949E-5,11.0,3.5250000000000044E-4,0.0
4.9984372557830534E-5,1.4749999999999993E-4,1.774999999999999E-4,3.411581581743123E-5,4.93552175559991E-5,12.0,3.533333333333338E-4,0.0
4.999999999999998E-5,1.499999999999999E-4,1.8083333333333325E-4,3.409290819054439E-5,4.970573128143498E-5,13.0,3.5416666666666707E-4,0.0
4.957457905911952E-5,1.5166666666666657E-4,1.858333333333333E-4,3.569741665100649E-5,5.053704636754662E-5,14.0,3.5833333333333377E-4,0.0
5.0687975234105905E-5,1.574999999999999E-4,1.8749999999999992E-4,3.617089069035121E-5,5.146297212559725E-5,15.0,3.600000000000004E-4,0.0
5.1029335245087715E-5,1.5916666666666653E-4,1.8916666666666658E-4,3.617089069035121E-5,5.1151667182561665E-5,16.0,3.600000000000004E-4,0.0
5.094761743420612E-5,1.608333333333332E-4,1.8999999999999993E-4,3.617089069035121E-5,5.1397146483697584E-5,17.0,3.600000000000004E-4,0.0
5.0852114017019927E-5,1.6249999999999988E-4,1.9416666666666657E-4,3.617089069035121E-5,5.094761743420614E-5,18.0,3.600000000000004E-4,0.0
5.115166718256164E-5,1.6416666666666657E-4,1.974999999999999E-4,3.617089069035121E-5,5.222646998090782E-5,19.0,3.600000000000004E-4,0.0
5.177408189003024E-5,1.6666666666666655E-4,1.974999999999999E-4,3.617089069035121E-5,5.222646998090782E-5,20.0,3.600000000000004E-4,0.0
5.25049600831515E-5,1.6749999999999992E-4,1.9999999999999993E-4,3.617089069035121E-5,5.16397779494322E-5,21.0,3.600000000000004E-4,0.0
5.2359269051005255E-5,1.6916666666666656E-4,2.024999999999999E-4,3.617089069035121E-5,5.301827515112124E-5,22.0,3.600000000000004E-4,0.0
5.3383765218359144E-5,1.7083333333333322E-4,2.041666666666666E-4,3.668323489309825E-5,5.454196905951311E-5,23.0,3.608333333333337E-4,0.0
5.5137139630803025E-5,1.724999999999999E-4,2.041666666666666E-4,3.668323489309825E-5,5.454196905951311E-5,24.0,3.608333333333337E-4,0.0
