InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.000580
0.0250,0.006472
0.0175,0.001346
0.0025,0.000339
0.0050,0.000389
0.0100,0.000503
0.0200,0.001566
0.0275,0.014712
0.0225,0.002767
0.0075,0.000425
0.0150,0.000829
0.0300,0.031323
