InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.006759
0.0250,0.688111
0.0175,0.182960
0.0025,0.000397
0.0050,0.000513
0.0100,0.001374
0.0200,0.394101
0.0275,0.712957
0.0225,0.574842
0.0075,0.000747
0.0150,0.035619
0.0300,0.781976
