Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
8.29,2.26527592138353,0.0,0.4,6.15,35.46890328160712,16.0,0.30822070014844877,0.0,2351.9,1.9318061496951495,133.26,0.0,38.86466904529099
10.41,2.784865346834565,0.0,0.59,7.73,43.90630336295689,17.0,0.40678618462283134,0.0,2313.46,2.3375788756745726,167.81,0.0,48.32868816758842
13.19,3.3761627626641455,0.0,0.7,9.68,53.94179154421922,18.0,0.4387482193696061,0.0,2265.28,2.8799999999999994,211.15,0.0,59.49920503670617
16.52,4.1656212021738135,0.0,0.99,12.42,64.99731898317037,19.0,0.5936960501805615,0.0,2207.78,3.5172290229668013,262.29,0.0,72.04628998081718
20.74,5.132065860840057,0.0,1.48,15.77,77.40893036336311,20.0,0.7052659073002181,0.0,2139.71,4.40048576863964,322.3,0.0,86.33256323659108
26.08,6.54357700344391,0.0,1.94,19.94,90.2825763921256,21.0,0.8240752392834044,0.0,2059.2,5.274855448256379,392.84,0.0,101.43197227698967
32.97,8.180297977457789,0.0,2.49,24.84,103.394773924991,22.0,0.9682329265212996,0.0,1964.97,6.375625459513757,474.73,0.0,117.30081958366702
40.8,9.729594030585245,0.0,3.19,30.85,117.02254953640345,23.0,1.2383355764896686,0.0,1858.62,7.399113122530293,566.54,0.0,133.7126729222028
50.63,11.587203070629254,0.0,3.9,38.33,128.87368728720384,24.0,1.3629013170439008,0.0,1739.17,9.038820442956041,667.97,0.0,149.04829846395427
62.42,14.049053348891519,0.0,4.93,46.54,138.88521978598013,25.0,1.5512172639575672,0.0,1609.34,10.654205742334808,776.77,0.0,163.28904157964791
75.64,16.534739187540886,0.0,6.16,55.83,145.67617341212667,26.0,1.8983150423467654,0.0,1470.67,12.000011458327865,891.7,0.0,174.197388829454
90.71,19.003985766149164,0.0,7.57,66.66,149.47377060875928,27.0,2.171698643919087,0.0,1326.8,13.72246697937365,1008.26,0.0,182.11221815133652
107.94,21.514160453059745,0.0,9.29,79.5,149.13129416725383,28.0,2.564463881593968,0.0,1182.49,15.487333534214338,1120.78,0.0,186.1931858984104
127.59,24.774492426687573,0.0,11.07,92.84,144.3287459240189,29.0,2.948096843728171,0.0,1040.68,16.96639619954691,1227.82,0.0,185.71603161816697
148.38,27.17699210729547,0.0,13.22,107.42,136.39043221575335,30.0,3.3418408100925454,0.0,906.18,18.634937617282223,1324.8,0.0,181.3557881623854
171.35,29.797682376319127,0.0,15.83,121.94,126.15328721440436,31.0,3.75569900284887,0.0,778.13,20.237443020302738,1412.75,0.0,174.5259673372419
195.59,32.25175150282539,0.0,18.97,137.48,113.96752552810824,32.0,4.2944469958307785,0.0,662.01,21.150588644290735,1485.95,0.0,164.711209318006
221.26,34.31527502439693,0.0,22.34,152.93,101.57400947092717,33.0,4.8924533722867505,0.0,558.15,21.610212284936033,1545.32,0.0,153.47588369186872
248.03,35.86219841281345,0.0,26.14,169.3,89.62538856261658,34.0,5.510453701828917,0.0,466.36,22.026972102402087,1590.17,0.0,141.85704987768494
276.25,37.257507632690626,0.0,30.15,186.06,77.8959464606471,35.0,5.818666084249892,0.0,387.73,22.52807359718092,1619.81,0.0,129.3423916394002
304.98,38.335491388529235,0.0,34.46,203.14,66.96710311787423,36.0,6.3747235234165265,0.0,319.64,22.853557709905914,1637.78,0.0,116.97325591775241
334.18,39.02142872832824,0.0,39.31,219.03,58.115732809627374,37.0,6.838016890882911,0.0,264.4,22.965893733969946,1643.08,0.0,104.70257876480404
363.56,40.07906685540471,0.0,44.9,234.23,52.15092017404871,38.0,7.274441559322611,0.0,217.5,22.818945527784578,1639.81,0.0,94.29200655410828
393.83,40.96041106971461,0.0,50.58,249.38,47.24465578242687,39.0,7.829808426775207,0.0,177.91,22.1206668073094,1628.3,0.0,83.56031040511999
423.37,41.65919196287896,0.0,56.81,263.91,43.74099907409524,40.0,8.533667148418667,0.0,146.11,21.520582589697703,1609.8,0.0,73.30224740756589
452.75,41.621711581817486,0.0,63.05,276.43,42.32216440589965,41.0,9.113828778290713,0.0,120.01,20.66231533492798,1587.76,0.0,63.23723171518498
482.18,42.0066292387285,0.0,69.88,288.54,43.41395944854603,42.0,9.679173518436377,0.0,98.75,20.08449899798349,1560.65,0.0,54.40994279541194
512.25,42.249519228033826,0.0,76.92,300.43,44.03891773193341,43.0,9.986410766636828,0.0,81.33,18.921053749725463,1529.07,0.0,45.98358701754356
541.58,41.98989044996427,0.0,84.05,310.9,45.02486646287806,44.0,10.480070371901135,0.0,67.31,17.95417778679937,1496.16,0.0,38.673873286755246
570.6,41.78857499365107,0.0,91.23,320.12,46.65125159092734,45.0,10.766581398011162,0.0,55.32,17.311019611796407,1462.73,0.0,31.928817704387356
599.44,41.41746732961831,0.0,99.07,329.22,48.027440073358065,46.0,11.075255076069356,0.0,45.67,16.665170266156903,1426.6,0.0,25.894020062554976
628.33,40.68181749873031,0.0,107.26,336.18,49.59070956338495,47.0,11.466171985453556,0.0,37.92,15.749663488468576,1390.31,0.0,20.935338545148962
656.76,40.8186917967737,0.0,115.17,343.16,50.51075405297371,48.0,11.709409677690845,0.0,31.84,14.414700829361667,1353.07,0.0,17.36832173815306
683.2,40.38118373698325,0.0,123.19,350.58,51.00131640457921,49.0,12.208745840584937,0.0,26.76,13.417559390589627,1316.27,0.0,14.444742988367777
709.71,39.24928629924371,0.0,131.81,356.03,50.56872650166306,50.0,12.362785891537559,0.0,22.79,12.989698803282543,1279.66,0.0,11.593380654494181
736.14,38.89781613407107,0.0,140.68,360.85,50.64387697441814,51.0,12.458105795023576,0.0,18.8,12.180799440102444,1243.53,0.0,8.917959407846618
761.64,38.310998420819054,0.0,149.62,363.84,50.327698884411554,52.0,12.598964243143165,0.0,15.87,11.255825158556792,1209.03,0.0,7.159488459380317
787.14,37.72174571782171,0.0,158.11,366.82,49.65255179746556,53.0,12.663707000716652,0.0,13.51,10.546653497674036,1174.42,0.0,5.884086590117453
811.49,36.88986954436136,0.0,167.52,368.52,48.588906912998155,54.0,13.120495417475666,0.0,11.82,10.334040835994408,1140.65,0.0,4.838067796135148
836.69,36.41542907889456,0.0,176.38,369.75,48.02913152452374,55.0,13.300522546125773,0.0,10.19,10.01133732325507,1106.99,0.0,3.947591037582286
860.89,35.59634075294818,0.0,185.38,370.57,46.897774733989245,56.0,13.599591905641878,0.0,8.73,10.088175008394726,1074.43,0.0,3.1951956121652403
883.81,34.89310067907408,0.0,194.68,371.69,45.92287011936426,57.0,13.697058078288203,0.0,7.62,10.237845232274221,1042.2,0.0,2.5959391364205744
907.6,34.239962032689235,0.0,204.02,371.37,45.23607631083845,58.0,13.694885906790166,0.0,6.65,10.410008405376052,1010.36,0.0,2.195876818038753
930.04,33.476627667672865,0.0,213.21,372.5,43.813438577678426,59.0,13.518745319000578,0.0,5.73,10.289193360025848,978.52,0.0,1.9207485519973708
952.22,32.375652889169665,0.0,222.52,371.93,42.53682992419629,60.0,13.299526307353961,0.0,5.15,9.786024473707393,948.18,0.0,1.8417043736713008
973.46,31.648808824345977,0.0,231.41,370.58,41.603906066618315,61.0,13.536080488826887,0.0,4.55,9.885641102123829,920.0,0.0,1.5785673884886902
993.97,31.153848478157556,0.0,240.16,369.9,40.38084044444841,62.0,13.629145240989983,0.0,4.0,10.017859052711813,891.97,0.0,1.3892443989449805
1014.11,30.816464349435023,0.0,249.49,367.38,39.48665470763507,63.0,13.666838515179727,0.0,3.6,9.92466120328548,865.42,0.0,1.2922847983320083
1034.67,30.40584277733476,0.0,258.39,364.89,38.36639154259884,64.0,13.838514190475792,0.0,3.25,10.150343590243633,838.8,0.0,1.1755317945508748
1054.21,30.10409399068506,0.0,267.5,362.36,37.570566604723965,65.0,13.985260097688567,0.0,2.92,10.260487317861664,813.01,0.0,1.0239140588936166
1072.86,29.511524867414085,0.0,276.21,359.66,36.373139471318666,66.0,14.041063884193393,0.0,2.6,10.193188902399486,788.67,0.0,0.9695359714832661
