InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.064398
0.0250,0.343222
0.0175,0.206499
0.0025,0.000413
0.0050,0.000601
0.0100,0.020994
0.0200,0.280898
0.0275,0.389580
0.0225,0.320840
0.0075,0.001959
0.0150,0.157692
0.0300,0.407305
