InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.132613
0.0250,0.648081
0.0175,0.372886
0.0025,0.000383
0.0050,0.000679
0.0100,0.027165
0.0200,0.475442
0.0275,0.717396
0.0225,0.537831
0.0075,0.002071
0.0150,0.266441
0.0300,0.706835
