Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Time_STD,Susceptible_STD
0.0,0.0,0.0,0.0,0.0,3.0357660829594124E-18,0.0,0.0,0.0,0.9988000000000017,0.0,0.001200000000000003,0.0,1.6653345369377348E-15
5.200000000000002E-5,1.3452137376640205E-4,0.0,0.0,3.2000000000000005E-5,4.0595566260368877E-4,1.0,0.0,0.0,0.9983560000000007,1.085172797300043E-4,0.001560000000000002,0.0,3.661475112574189E-4
1.1199999999999998E-4,1.9661129163911205E-4,0.0,0.0,8.000000000000002E-5,7.59062579765331E-4,2.0,0.0,0.0,0.9977400000000007,1.600000000000001E-4,0.0020680000000000004,0.0,6.890573270780855E-4
1.9199999999999995E-4,2.496717845492358E-4,0.0,4.0E-6,1.5199999999999995E-4,0.0011555154693901762,3.0,3.9799497484264785E-5,0.0,0.997024,2.3172397372736374E-4,0.0026279999999999997,0.0,0.0010797333004033966
3.2000000000000013E-4,2.8844410203711916E-4,0.0,8.0E-6,2.24E-4,0.001749290141743216,4.0,5.600000000000002E-5,0.0,0.996076,2.7317393726342213E-4,0.003372,0.0,0.0016844654938585123
4.879999999999998E-4,4.179186523714874E-4,0.0,1.2E-5,3.1200000000000005E-4,0.0023238726299003565,5.0,6.823488843692795E-5,0.0,0.9948920000000002,3.513630600959642E-4,0.004296000000000001,0.0,0.002364981183857502
6.519999999999997E-4,5.048722610720458E-4,0.0,2.0E-5,4.3999999999999985E-4,0.0032965897530630047,6.0,8.717797887081352E-5,0.0,0.9933239999999999,4.0595566260368866E-4,0.005564000000000001,0.0,0.0034090209738281163
9.280000000000002E-4,6.193674192270692E-4,0.0,3.2000000000000005E-5,6.079999999999998E-4,0.004381517545326048,7.0,1.2237646832622705E-4,0.0,0.9911839999999998,4.4714203559942774E-4,0.007248000000000001,0.0,0.0047223451800985534
0.0012320000000000005,6.966893138264718E-4,0.0,6.800000000000001E-5,7.959999999999999E-4,0.006156461321246158,8.0,1.7022338264762593E-4,0.0,0.9883759999999991,6.387362522982391E-4,0.009528,0.0,0.006762442162414401
0.001564000000000001,8.562149262889548E-4,0.0,9.999999999999999E-5,0.0010919999999999999,0.007994457079752194,9.0,1.9899748742132386E-4,0.0,0.98496,8.03701437102112E-4,0.012284000000000008,0.0,0.008999377756267371
