Recovered,Vaccinated,Dead,Hospitalised,Susceptible,Time,Infected
0.0,0.0,0.0,0.0,0.9988,0.0,0.0012
4.8E-5,0.0,0.0,4.032E-5,0.99835054,1.0,0.0015611399999999997
1.1205839999999998E-4,0.0,1.9353600000000003E-6,8.9226144E-5,0.9977660781392442,2.0,0.0020307019567558497
1.9685552403023396E-4,0.0,6.218214912E-6,1.4960582907499656E-4,0.997006266066521,3.0,0.002641054365461859
3.084819318117082E-4,0.0,1.3399294707599834E-5,2.2517994279591536E-4,0.9960188356597506,4.0,0.0034341031709342958
4.548532563609166E-4,0.0,2.420793196180377E-5,3.2074997437326713E-4,0.994736173869057,5.0,0.00446401496824707
6.4624385406573E-4,0.0,3.9603930731720597E-5,4.425148795615212E-4,0.9930709799304539,6.0,0.005800657405187194
8.959707454556787E-4,0.0,6.084464495067361E-5,5.984756589743971E-4,0.9909108057303502,7.0,0.007533903220269201
0.0012212659006254226,0.0,8.957147658144466E-5,7.989489491856953E-4,0.9881112709389909,8.0,0.009778942734616675
0.0016443815679775173,0.0,1.2792102614235805E-4,0.0010572139175404746,0.9844877646137628,9.0,0.012682718874577023
0.0021939788796622173,0.0,1.7866729418430084E-4,0.0013903184469827006,0.9798055215309912,10.0,0.01643151384817957
0.002906852171468708,0.0,2.4540257963947046E-4,0.0018200692889470567,0.9737681385326565,11.0,0.021259537427288287
0.003830036440118122,0.0,3.327659055089292E-4,0.0023742236490766023,0.9660049409626681,12.0,0.027458033042628317
0.005023326707786319,0.0,4.4672864066460613E-4,0.0030878818781901736,0.9560582176170573,13.0,0.03538384515630155
0.006562195789165989,0.0,5.949469708177345E-4,0.004005045470161171,0.943372336642343,14.0,0.04546547512751212
0.008541016613072919,0.0,7.871891533854707E-4,0.005180241433071394,0.9272882598269947,15.0,0.058203292973475505
0.011076357989334797,0.0,0.0010358407421728977,0.006680010830869888,0.9070490484804042,16.0,0.07415874195721829
0.014309908100858325,0.0,0.0013564812620546522,0.008583903607515871,0.8818244423571048,17.0,0.09392526467246652
0.01841027483205762,0.0,0.0017685086352154141,0.01098440898304935,0.8507648445534643,18.0,0.11807196299621346
0.023572529711228134,0.0,0.0022957602664017826,0.013984998949213777,0.8130955413367409,19.0,0.14705116973641563
0.030013976458653308,0.0,0.0029670402159640437,0.01769523834482653,0.768258047413854,20.0,0.18106569756670238
0.037964413895114464,0.0,0.0038164116565157172,0.022221864808722996,0.7160936051890207,21.0,0.2199037044506264
0.04764943666548844,0.0,0.004883061167334421,0.02765510517509642,0.6570417414960944,22.0,0.2627706554959865
0.059266467092331764,0.0,0.006210506215739049,0.03405054994435308,0.5922975080831621,23.0,0.30817496866441435
0.07295548783668247,0.0,0.007844932613067998,0.04140878049637434,0.5238482833355849,24.0,0.3539425157182906
0.08876953968526907,0.0,0.009832554076893965,0.04965727634082798,0.4543187161136456,25.0,0.3974219137833637
0.10665270729023674,0.0,0.01221610334125371,0.05864081232595613,0.38661013600408844,26.0,0.4358802410384653
0.12643354942481358,0.0,0.015030862332899603,0.06812599694016441,0.32341674127807246,27.0,0.4669928500240502
0.14783830330338216,0.0,0.018300910186027496,0.07782186897023803,0.26677925161997074,28.0,0.48925966592038184
0.17052156469900698,0.0,0.02203635989659892,0.08741266927578192,0.21783262879919213,29.0,0.5021967773294204
0.19410594256321506,0.0,0.026232168021836453,0.09659416609778165,0.1768095622316358,30.0,0.5062581610855312
0.21822003565054757,0.0,0.03086868799452997,0.10510415369365071,0.14324283079248865,31.0,0.5025642918687833
0.24252677347304494,0.0,0.0359136873718252,0.11274114837540056,0.11624705635904851,32.0,0.49257133442068096
0.2667392727848882,0.0,0.04132526249384443,0.11937032415490016,0.09477456848157878,33.0,0.47779057208478865
0.29062570863447573,0.0,0.047055038053279645,0.12491949885131785,0.07779367024636535,34.0,0.45960608421456156
0.31400673195711093,0.0,0.05305117399814291,0.12936934738201117,0.0643857536868863,35.0,0.4391869929758489
0.33674898557142535,0.0,0.05926090267247944,0.1327415277763827,0.05378173410480108,36.0,0.4174668498749116
0.35875732067747707,0.0,0.0656324960057458,0.13508715948785804,0.045362199935723053,37.0,0.3951608238931961
0.37996724001271925,0.0,0.07211667966116299,0.13647689313573794,0.03864018832314498,38.0,0.37279899886723494
0.4003382756928382,0.0,0.07866757053167842,0.1369929729017321,0.03323830450205378,39.0,0.3507628763716977
0.41984850966377535,0.0,0.08524323323096156,0.13672322393246872,0.028866268267231755,40.0,0.32931876490556267
0.4384901892172966,0.0,0.09180594797972007,0.13575669072723837,0.02530144183728273,41.0,0.30864573023846226
0.4562662860559247,0.0,0.09832226913462751,0.13418059847925373,0.02237299859029994,42.0,0.28885784773989426
0.4731878239046906,0.0,0.10476293786163168,0.13207832949713985,0.019949517507694293,43.0,0.2700213912288437
0.4892718127337299,0.0,0.1111026976774944,0.1295281552466807,0.017929468830779872,44.0,0.25216786551131526
0.5045396535640497,0.0,0.11732004912933508,0.12660251786615298,0.016234005373976342,45.0,0.235303774066486
0.5190159052413552,0.0,0.12339696998691042,0.12336770310256545,0.014801534349209248,46.0,0.21941788731995968
0.5327273288582562,0.0,0.12931861973583356,0.11988378624349035,0.01358363882571026,47.0,0.20448662633670964
0.5457021453614642,0.0,0.1350730414755211,0.11620476369897663,0.01254201164689307,48.0,0.190478037817145
0.5579694574221091,0.0,0.14065087013307198,0.11237880656412276,0.011646144983600582,49.0,0.1773547208970956
0.5695587985205579,0.0,0.14604505284814986,0.10844859020862237,0.010871582936190484,50.0,0.16507597548647948
