InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.004249
0.0250,0.232155
0.0175,0.063184
0.0025,0.000366
0.0050,0.000449
0.0100,0.001575
0.0200,0.129746
0.0275,0.297016
0.0225,0.162371
0.0075,0.000696
0.0150,0.016855
0.0300,0.342049
