Recovered,Vaccinated,Dead,Hospitalised,Susceptible,Time,Infected
0.0,0.0,0.0,0.0,0.997,0.0,0.003
1.1999999999999999E-4,0.0,0.0,1.008E-4,0.9961027,1.0,0.0036765
2.7109199999999996E-4,0.0,4.8384E-6,2.1545999999999997E-4,0.9950040485270351,2.0,0.004504561072965
4.598928429186E-4,0.0,1.518048E-5,3.47852772051624E-4,0.9936594315757038,3.0,0.005517642329326014
6.945126469737055E-4,0.0,3.187741305847795E-5,5.026345103764352E-4,0.9920146343735249,4.0,0.006756341056066458
9.848716696314213E-4,0.0,5.600386955654684E-5,6.854157329471419E-4,0.990003917612794,5.0,0.008269791115070948
0.001343079943552145,0.0,8.890382473800964E-5,9.029641299141773E-4,0.9875477799322661,6.0,0.010117272169529639
0.0017838893955298978,0.0,1.3224610297389016E-4,0.0011634436313779253,0.9845503930312692,7.0,0.012370027838849103
0.0023252282543389786,0.0,1.8809139728003058E-4,0.0014766935272019976,0.9808967183001053,8.0,0.0151132685210738
0.0029888267362700107,0.0,2.589726865857265E-4,0.0018545503191163015,0.9764493516515723,9.0,0.018448298606455638
0.003800940693292888,0.0,3.4799110190330895E-4,0.0023112127242109768,0.9710452028875678,10.0,0.022494652593024966
0.0047931753059823265,0.0,4.5892931266543587E-4,0.00286364633160605,0.9644922055402441,11.0,0.027392043509502112
0.006003402899626652,0.0,5.963843365825262E-4,0.003532018116343989,0.9565663818026239,12.0,0.033301812844822955
0.007476756138073331,0.0,7.659212061670378E-4,0.00434014143369177,0.9470097634164917,13.0,0.040407417805576114
0.009266658507644047,0.0,9.742479949842426E-4,0.005315898225794252,0.9355298976635927,14.0,0.048913297607984706
0.011435826340995204,0.0,0.0012294111098223668,0.006491585981552643,0.9218019419719167,15.0,0.05904123459571306
0.014057139164085831,0.0,0.0015410072369368938,0.007904111897591971,0.9054746445598923,16.0,0.07102309714149292
0.017214227525649228,0.0,0.0019204046080213083,0.00959492611455804,0.8861817604679716,17.0,0.08508868128379984
0.021001571821583548,0.0,0.0023809610615200946,0.011609552307612608,0.8635605492551788,18.0,0.10144736555410494
0.02552384853605225,0.0,0.0029382195722854995,0.013996543187160624,0.8372787664396607,19.0,0.12026262226484094
0.03089421515413231,0.0,0.0036100536452692094,0.016805671494789145,0.8070707644340492,20.0,0.14161929527176012
0.03723121382479428,0.0,0.004416725877019088,0.02008518072437884,0.772781726565972,21.0,0.1654851530078358
0.04465402717408287,0.0,0.0053808145517892725,0.023877985961696786,0.7344165558872431,22.0,0.1916706164251879
0.053275971269558256,0.0,0.006526957877950719,0.028216855908953783,0.6921867336933116,23.0,0.21979348125022546
0.06319638475592543,0.0,0.0078813669615805,0.03311883355897343,0.646545294131209,24.0,0.2492581205923116
0.07449146292197682,0.0,0.009471070972411224,0.038579449057685435,0.5981982946633244,25.0,0.279259722384602
0.0872050297796683,0.0,0.011322884527180126,0.04456758421273174,0.5480824877537377,26.0,0.30882201372668205
0.10134061369724487,0.0,0.01346212856939125,0.05102205646322787,0.4973045064868061,27.0,0.33687069478332987
0.11685632374710717,0.0,0.01591118727962619,0.0578509708391837,0.4470463121010787,28.0,0.3623352060330042
0.13366377082199465,0.0,0.018688033879907008,0.06493454832804448,0.39845212682064696,29.0,0.3842615201494068
0.1516316135610927,0.0,0.021804892199653144,0.07213149515219663,0.35251918083298717,30.0,0.40191281825407027
0.1705933860973434,0.0,0.02526720396695858,0.07928819427214011,0.3100145875958265,31.0,0.41483662806773136
0.19035837899093827,0.0,0.02907303729202131,0.08624934387926755,0.27143296574480824,32.0,0.42288627409296464
0.21072380370982757,0.0,0.03321300579822615,0.09286838042741563,0.2369973830798607,33.0,0.42619742698467
0.231486436006311,0.0,0.0376706880587421,0.09901619649648796,0.20669508061863964,34.0,0.4251315988198193
0.2524523478189633,0.0,0.04242346549057352,0.10458719292514296,0.18033329759116154,35.0,0.4202036961741587
0.27344398338293535,0.0,0.04744365075098038,0.10950236413918212,0.15760028213383737,36.0,0.41200971959306487
0.29430446673222527,0.0,0.05269976422966113,0.11370968267326105,0.1381204277189123,37.0,0.40116565864594034
0.3148994803849934,0.0,0.05815782899797766,0.11718239672851768,0.12149767601141738,38.0,0.38826261787709404
0.3351172809692178,0.0,0.06378258404094651,0.11991596977707848,0.1073457742851646,39.0,0.37383839092759275
0.3548674553974046,0.0,0.06953855059024627,0.1219243343718627,0.09530678282567186,40.0,0.35836287681481466
0.3740789438448717,0.0,0.07539091864009569,0.12323598560811655,0.0850604589636601,41.0,0.34223369294325606
0.3926977309869266,0.0,0.08130624594928529,0.12389027095749569,0.07632729246528559,42.0,0.32577845964100693
0.41068448021086673,0.0,0.08725297895524509,0.12393408335717387,0.06886755613491279,43.0,0.3092609013418016
0.42801227959882576,0.0,0.09320181495638943,0.12341905030682711,0.062478143389865716,44.0,0.2928887117480921
0.4446645900810226,0.0,0.09912592937111712,0.12239923459456223,0.05698840051090461,45.0,0.2768218454423937
0.4606334332825008,0.0,0.1050010926316561,0.1209293159571052,0.052255710251432955,46.0,0.2611804478773052
0.47591782383587716,0.0,0.11080569979759716,0.11906319920155739,0.04816125930914816,47.0,0.24605201785582032
0.49052243251817224,0.0,0.11652073335927192,0.11685298547177589,0.044606206798500164,48.0,0.23149764185227992
0.5044564576111346,0.0,0.12212967666191715,0.11434824351649622,0.04150833729275179,49.0,0.2175572849177005
0.5177326787485024,0.0,0.127618392350709,0.11159552286027931,0.03879920494389402,50.0,0.20425420109661546
