InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.114244
0.0250,0.687078
0.0175,0.366957
0.0025,0.000382
0.0050,0.000528
0.0100,0.026093
0.0200,0.471653
0.0275,0.683098
0.0225,0.569880
0.0075,0.003304
0.0150,0.222727
0.0300,0.695472
