InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.006278
0.0250,0.613408
0.0175,0.155827
0.0025,0.000373
0.0050,0.000520
0.0100,0.001659
0.0200,0.392913
0.0275,0.710566
0.0225,0.543685
0.0075,0.000825
0.0150,0.031565
0.0300,0.758424
