InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.078102
0.0250,0.375341
0.0175,0.225396
0.0025,0.000380
0.0050,0.000603
0.0100,0.028005
0.0200,0.303602
0.0275,0.392211
0.0225,0.334402
0.0075,0.003484
0.0150,0.180894
0.0300,0.414645
