InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.115593
0.0250,0.661115
0.0175,0.377721
0.0025,0.000390
0.0050,0.000577
0.0100,0.028132
0.0200,0.404637
0.0275,0.660372
0.0225,0.615448
0.0075,0.002355
0.0150,0.212950
0.0300,0.758016
