Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,2.168404344971009E-19,0.0,0.0,3.000000000000004E-4,0.0
0.0,0.0,5.8333333333333306E-5,2.096026148998136E-5,3.200477394945254E-5,1.0,3.18055555555556E-4,0.0
3.2267389320802614E-5,5.1388888888888876E-5,8.750000000000001E-5,3.4105636549468524E-5,3.7209523123941174E-5,2.0,3.416666666666671E-4,0.0
3.6535962327683064E-5,7.77777777777778E-5,1.125E-4,4.0960450286273967E-5,4.161455074049622E-5,3.0,3.652777777777782E-4,0.0
4.080119672657884E-5,1.0277777777777778E-4,1.430555555555555E-4,4.639283915316412E-5,4.3161831203500915E-5,4.0,3.7361111111111156E-4,0.0
4.3161831203500935E-5,1.3194444444444443E-4,1.5416666666666666E-4,5.769742676719264E-5,4.9256626739737064E-5,5.0,3.875000000000005E-4,0.0
4.9826086429589146E-5,1.4166666666666665E-4,1.75E-4,6.034478482483432E-5,5.120085719768543E-5,6.0,3.9583333333333376E-4,0.0
5.196746370519361E-5,1.5555555555555556E-4,1.8333333333333334E-4,6.263488531181879E-5,5.204164998665334E-5,7.0,4.0138888888888933E-4,0.0
5.2245119093900085E-5,1.6388888888888887E-4,2.0138888888888884E-4,6.478463252277592E-5,5.620711671252853E-5,8.0,4.041666666666671E-4,0.0
5.6910559023744087E-5,1.805555555555555E-4,2.1111111111111105E-4,6.829252959706087E-5,5.925202502139316E-5,9.0,4.097222222222226E-4,0.0
6.0184740026843724E-5,1.902777777777777E-4,2.1527777777777772E-4,6.99977953797453E-5,6.27272104600449E-5,10.0,4.111111111111115E-4,0.0
6.364309603436579E-5,1.930555555555555E-4,2.25E-4,7.343729478563393E-5,6.277716322216401E-5,11.0,4.1527777777777814E-4,0.0
6.289995485680138E-5,2.0277777777777772E-4,2.347222222222222E-4,7.575494524052575E-5,6.517056798968969E-5,12.0,4.1944444444444483E-4,0.0
6.505206248331666E-5,2.1249999999999996E-4,2.3888888888888888E-4,7.634784250753621E-5,6.695539329552195E-5,13.0,4.208333333333337E-4,0.0
6.56167322834318E-5,2.1666666666666663E-4,2.4027777777777776E-4,7.692990235625685E-5,6.803783782971951E-5,14.0,4.222222222222226E-4,0.0
6.56167322834318E-5,2.1666666666666663E-4,2.4027777777777776E-4,7.982185025278346E-5,6.803783782971951E-5,15.0,4.2500000000000036E-4,0.0
6.56167322834318E-5,2.1666666666666663E-4,2.4305555555555552E-4,8.055256220492164E-5,6.812284088774693E-5,16.0,4.2916666666666705E-4,0.0
6.5789219866307E-5,2.1805555555555554E-4,2.4722222222222224E-4,8.284288546905823E-5,6.768607183895113E-5,17.0,4.3194444444444487E-4,0.0
6.520385885725279E-5,2.2222222222222223E-4,2.4722222222222224E-4,8.374896350934072E-5,6.768607183895113E-5,18.0,4.3333333333333375E-4,0.0
6.520385885725279E-5,2.2222222222222223E-4,2.5E-4,8.374896350934072E-5,6.821127309893706E-5,19.0,4.3333333333333375E-4,0.0
6.508170908961048E-5,2.2638888888888887E-4,2.5416666666666665E-4,8.381515799589318E-5,6.919050793923175E-5,20.0,4.3472222222222263E-4,0.0
6.573421981221797E-5,2.2777777777777775E-4,2.5833333333333334E-4,8.387555081602358E-5,7.058780977540589E-5,21.0,4.3611111111111145E-4,0.0
6.5425365073966E-5,2.3055555555555552E-4,2.611111111111111E-4,8.686664517068609E-5,7.195463248327011E-5,22.0,4.4027777777777815E-4,0.0
6.666666666666667E-5,2.3333333333333328E-4,2.638888888888889E-4,8.686664517068609E-5,7.13488863280074E-5,23.0,4.4027777777777815E-4,0.0
6.630399034600009E-5,2.361111111111111E-4,2.652777777777778E-4,8.690272339422587E-5,7.07890656880542E-5,24.0,4.41666666666667E-4,0.0
6.584783595532963E-5,2.375E-4,2.6805555555555556E-4,8.690272339422587E-5,7.062537555892715E-5,25.0,4.41666666666667E-4,0.0
6.700939104076624E-5,2.4027777777777776E-4,2.6944444444444444E-4,8.690272339422587E-5,7.151092034364447E-5,26.0,4.41666666666667E-4,0.0
