Dead_STD,Dead,Hospitalised,Infected_STD,Hospitalised_STD,Time,Infected,Time_STD
0.0,0.0,0.0,4.607859233063394E-19,0.0,0.0,3.000000000000009E-4,0.0
0.0,0.0,8.58333333333333E-5,6.967060395572553E-5,4.1980071330202495E-5,1.0,4.7416666666666695E-4,0.0
3.9581140290126405E-5,7.000000000000001E-5,1.3833333333333322E-4,1.4562127439201849E-4,4.9658556384798576E-5,2.0,6.966666666666668E-4,0.0
4.4806683529233523E-5,1.1166666666666656E-4,2.0999999999999995E-4,2.9867299100446896E-4,5.787918451395113E-5,3.0,0.0010466666666666664,0.0
5.1532082779134297E-5,1.5666666666666663E-4,3.2500000000000015E-4,5.430429630537739E-4,8.422440263961507E-5,4.0,0.0015658333333333334,0.0
6.560482494112422E-5,2.3916666666666663E-4,4.833333333333335E-4,9.494734469109119E-4,1.2963624321753368E-4,5.0,0.002390833333333333,0.0
1.0163934058992884E-4,3.4666666666666684E-4,6.9E-4,0.0016598912280293822,1.9540556116276055E-4,6.0,0.0036733333333333336,0.0
1.4540114530345191E-4,4.958333333333333E-4,9.883333333333333E-4,0.0028308155479767074,3.289619616646007E-4,7.0,0.005689999999999999,0.0
2.340669271573601E-4,7.208333333333335E-4,0.0015391666666666672,0.004699380112046694,6.006349360375975E-4,8.0,0.0089075,0.0
3.962320360456596E-4,0.0010908333333333334,0.0023349999999999994,0.007582460526695072,0.0010204298522354847,9.0,0.01384833333333333,0.0
6.789616254906376E-4,0.0016433333333333332,0.0035975000000000013,0.011888390578861192,0.0017087698121260604,10.0,0.021436666666666663,0.0
0.001127955300409649,0.002489166666666669,0.0056125,0.017976973770284593,0.0028637065324796586,11.0,0.03266249999999998,0.0
0.001924390054883192,0.0038849999999999996,0.00854333333333333,0.0260669663239383,0.00451811047034291,12.0,0.04868000000000001,0.0
0.003093402477675494,0.005883333333333332,0.0129675,0.03602655245469422,0.006893992440584294,13.0,0.07041250000000002,0.0
0.004762212079369092,0.00898666666666666,0.0193275,0.047766259419059494,0.010178920134482182,14.0,0.09906333333333331,0.0
0.0071463480864160395,0.013498333333333331,0.02813083333333334,0.06065282069417484,0.014264634000202114,15.0,0.1346441666666667,0.0
0.01011595274801143,0.019799999999999995,0.039833333333333346,0.07377197298729035,0.019343290539328848,16.0,0.17694749999999992,0.0
0.013896309905620827,0.02828083333333333,0.05445916666666665,0.08620467291648923,0.024834400281190383,17.0,0.2249116666666668,0.0
0.018096838231941387,0.038994166666666656,0.0721183333333333,0.09760560379144764,0.03062411017981674,18.0,0.27772916666666664,0.0
0.022552539521944946,0.05209666666666664,0.0929883333333334,0.10718873803220887,0.03675520381713165,19.0,0.33342250000000007,0.0
0.027309139648354606,0.06766999999999998,0.1167491666666667,0.11457250347305559,0.04263916382262973,20.0,0.3900750000000002,0.0
0.03201421480883747,0.08568916666666666,0.14258583333333333,0.11985195511242538,0.0479436732425985,21.0,0.4452225,0.0
0.03635840041249829,0.10567666666666672,0.16980083333333335,0.12331336772798265,0.05249952757558606,22.0,0.497495,0.0
0.04023009143378664,0.1268925,0.19734249999999998,0.1252360870509231,0.056297843602316,23.0,0.5461158333333332,0.0
0.04350215195826523,0.14855999999999994,0.2244625000000001,0.12607373083889795,0.059175451365163535,24.0,0.5900583333333331,0.0
0.04606652796160678,0.17024749999999994,0.2507150000000001,0.12639744286308321,0.061286245279154335,25.0,0.6293591666666667,0.0
0.04807535482441139,0.19158916666666662,0.2754625000000001,0.12623619894588695,0.0628596333317668,26.0,0.6644116666666668,0.0
0.04959896567126902,0.21202583333333333,0.29868749999999994,0.1257987059412499,0.06394892772182215,27.0,0.6947508333333332,0.0
0.0507260620815923,0.23128166666666658,0.32006500000000015,0.125315649178357,0.06474294255296609,28.0,0.7206141666666663,0.0
0.051546882906014696,0.2493941666666666,0.33947250000000007,0.1247391722581953,0.06521714241749763,29.0,0.7430141666666665,0.0
0.05210563369086293,0.2658258333333333,0.35732416666666655,0.12438002962401493,0.06556263036079614,30.0,0.7618974999999998,0.0
0.05256021863856097,0.2809499999999999,0.3729283333333334,0.12418545172149126,0.06581467863862556,31.0,0.7778375000000001,0.0
0.05285397290727854,0.29444499999999985,0.38685166666666654,0.1241536380860424,0.06602343396581922,32.0,0.7913399999999998,0.0
0.053136484051227825,0.3067008333333333,0.39911583333333334,0.124314126912431,0.06622451364985418,33.0,0.8027800000000004,0.0
0.05332787966908117,0.3174499999999999,0.4099624999999997,0.12468659633479277,0.06646944005283555,34.0,0.8122666666666665,0.0
0.05359041373483537,0.32694250000000014,0.4194891666666667,0.12515745907586326,0.06682902307251236,35.0,0.8203658333333335,0.0
0.05389531863399381,0.33532083333333346,0.4280158333333333,0.12566735885087885,0.0672134249969929,36.0,0.8270133333333334,0.0
0.05423817624447184,0.34289416666666667,0.4353958333333334,0.126166330882837,0.06764613083165258,37.0,0.8325925000000001,0.0
0.054586672733407816,0.34939250000000005,0.4417449999999999,0.1266443895918969,0.06807427097479633,38.0,0.8372525000000002,0.0
0.054957918672620676,0.3550558333333331,0.4473208333333332,0.12709156861226628,0.0685249571007507,39.0,0.841234166666667,0.0
0.05534132040121557,0.35999499999999984,0.45218666666666674,0.1274897041260969,0.06896700295954741,40.0,0.8445441666666668,0.0
0.05570672120423522,0.3640791666666667,0.45633416666666654,0.12782461410942034,0.06939064853417248,41.0,0.8471833333333332,0.0
0.056071279481022106,0.3677883333333334,0.4598141666666669,0.12811309970751109,0.06977283924035,42.0,0.8493799999999999,0.0
