InfectionRate,TotalInfected
0.0000,0.000300
0.0125,0.004870
0.0250,0.207048
0.0175,0.063305
0.0025,0.000356
0.0050,0.000424
0.0100,0.001005
0.0200,0.126730
0.0275,0.251447
0.0225,0.174596
0.0075,0.000591
0.0150,0.018186
0.0300,0.341834
