Recovered,Recovered_STD,Vaccinated,Dead,Hospitalised,Infected_STD,Time,Dead_STD,Vaccinated_STD,Susceptible,Hospitalised_STD,Infected,Susceptible_STD
0.0,0.0,0.8499999999999963,0.0,0.0,8.131516293641283E-20,0.0,0.0,1.8318679906315083E-15,0.1497,0.0,3.0000000000000014E-4,0.0
9.999999999999999E-6,1.5652475842498547E-5,0.8499999999999963,0.0,1.719999999999999E-5,3.614913553599866E-5,1.0,0.0,1.8318679906315083E-15,0.14967639999999996,2.088157082213887E-5,2.964000000000001E-4,2.666008252050133E-5
2.680000000000001E-5,2.4298971171636078E-5,0.8499999999999963,4.400000000000001E-6,2.480000000000001E-5,4.9436828377233154E-5,2.0,1.1187493016757617E-5,1.8318679906315083E-15,0.1496519999999999,2.337177785278648E-5,2.920000000000001E-4,3.954743986656978E-5
4.559999999999999E-5,3.286578768263437E-5,0.8499999999999963,1.0399999999999997E-5,3.2400000000000015E-5,5.945216564600483E-5,3.0,1.59047162816568E-5,1.8318679906315083E-15,0.14963399999999985,2.770487321754059E-5,2.7760000000000013E-4,4.838388161361173E-5
6.91999999999999E-5,4.065513497702349E-5,0.8499999999999963,1.6799999999999988E-5,3.759999999999999E-5,6.78232998312527E-5,4.0,2.0722934155181858E-5,1.8318679906315083E-15,0.14961639999999984,2.9775157430314314E-5,2.600000000000002E-4,5.694523685085539E-5
8.239999999999986E-5,4.174398160214239E-5,0.8499999999999963,2.5600000000000012E-5,3.5599999999999984E-5,7.390507425069E-5,5.0,2.4003333101884024E-5,1.8318679906315083E-15,0.14959679999999984,2.9208902752414373E-5,2.596000000000003E-4,6.555486251987772E-5
9.679999999999982E-5,4.557894250638121E-5,0.8499999999999963,3.320000000000003E-5,3.759999999999999E-5,7.584220460930703E-5,6.0,2.7100553499882526E-5,1.8318679906315083E-15,0.1495751999999998,2.9437391188758584E-5,2.5720000000000034E-4,7.187656085261777E-5
1.1519999999999974E-4,4.7772795605867526E-5,0.8499999999999963,4.199999999999999E-5,3.8799999999999994E-5,7.422263805605407E-5,7.0,3.0479501308256317E-5,1.8318679906315083E-15,0.1495619999999998,2.921711826994585E-5,2.4200000000000024E-4,7.634788798650569E-5
1.3119999999999975E-4,5.1736254213075775E-5,0.8499999999999963,4.7199999999999955E-5,4.119999999999997E-5,8.013114251026251E-5,8.0,3.1670806746908176E-5,1.8318679906315083E-15,0.14954639999999986,3.042433236736671E-5,2.3400000000000024E-4,8.186427792389087E-5
1.4799999999999994E-4,5.295280917949499E-5,0.8499999999999963,5.439999999999993E-5,4.2799999999999956E-5,7.987515258201388E-5,9.0,3.4061121531740554E-5,1.8318679906315083E-15,0.14953199999999986,3.117755602993923E-5,2.228000000000003E-4,8.58137518117004E-5
1.644E-4,5.489225810622115E-5,0.8499999999999963,6.15999999999999E-5,4.239999999999997E-5,7.945413771478488E-5,10.0,3.593549777031069E-5,1.8318679906315083E-15,0.14952119999999983,3.0505081543900132E-5,2.1040000000000037E-4,9.185662741468443E-5
1.8200000000000011E-4,6.007495318350238E-5,0.8499999999999963,6.919999999999989E-5,4.279999999999997E-5,8.203438303540787E-5,11.0,3.7587763966482474E-5,1.8318679906315083E-15,0.14950719999999992,3.149666649028116E-5,1.988000000000002E-4,9.801550897689693E-5
1.9680000000000012E-4,6.1460881868063E-5,0.8499999999999963,7.479999999999988E-5,4.4799999999999964E-5,8.231864916287206E-5,12.0,3.835674647307831E-5,1.8318679906315083E-15,0.14949519999999988,3.190987308028657E-5,1.884000000000003E-4,1.0283112369317063E-4
2.0880000000000012E-4,6.372315120896019E-5,0.8499999999999963,7.879999999999987E-5,4.919999999999996E-5,8.671793355471513E-5,13.0,3.895689926059314E-5,1.8318679906315083E-15,0.1494831999999999,3.442150490609035E-5,1.8000000000000012E-4,1.0958759053834588E-4
2.2440000000000011E-4,6.527756122895534E-5,0.8499999999999963,8.559999999999987E-5,4.679999999999997E-5,8.748051211555623E-5,14.0,4.157114383800384E-5,1.8318679906315083E-15,0.14947399999999988,3.663932313785285E-5,1.6920000000000007E-4,1.1593532679903977E-4
2.3560000000000017E-4,6.536941180705241E-5,0.8499999999999963,9.239999999999985E-5,4.399999999999999E-5,8.608925600793623E-5,15.0,4.284343590329798E-5,1.8318679906315083E-15,0.1494663999999999,3.187475490101843E-5,1.6159999999999997E-4,1.1805829068727101E-4
2.4680000000000014E-4,6.710022354657233E-5,0.8499999999999963,9.799999999999982E-5,3.999999999999999E-5,8.868844344107065E-5,16.0,4.504442251822081E-5,1.8318679906315083E-15,0.14945639999999993,3.0000000000000004E-5,1.5880000000000007E-4,1.237528181497302E-4
2.5640000000000016E-4,6.866410998476578E-5,0.8499999999999963,9.999999999999983E-5,4.079999999999999E-5,9.175096729735336E-5,17.0,4.516635916254485E-5,1.8318679906315083E-15,0.1494475999999999,3.168343415730053E-5,1.5519999999999995E-4,1.2869949494850462E-4
2.6520000000000016E-4,7.005169519718999E-5,0.8499999999999963,1.0319999999999983E-4,3.9199999999999984E-5,9.467333309860811E-5,18.0,4.5578942506381185E-5,1.8318679906315083E-15,0.14943959999999992,3.1556932677305695E-5,1.5279999999999995E-4,1.3370848888533666E-4
2.780000000000002E-4,7.43572457800853E-5,0.8499999999999963,1.079999999999998E-4,3.999999999999999E-5,9.34453851187954E-5,19.0,4.71593044902064E-5,1.8318679906315083E-15,0.1494311999999999,3.2249030993194186E-5,1.428E-4,1.3761046471834966E-4
2.9120000000000025E-4,7.797845856388802E-5,0.8499999999999963,1.1199999999999982E-4,3.7999999999999995E-5,8.681382378400344E-5,20.0,4.903060268852503E-5,1.8318679906315083E-15,0.1494275999999999,2.981610303175121E-5,1.311999999999999E-4,1.4028385509387814E-4
